왕십리,마천,140,15:45:20,15:47:40
왕십리,상일동,14,15:51:20,15:51:34
왕십리,상일동,26,16:3:20,16:3:46
왕십리,마천,67,16:9:20,16:10:27
왕십리,상일동,29,16:15:20,16:15:49
왕십리,마천,152,16:21:20,16:23:52
왕십리,상일동,36,16:27:20,16:27:56
왕십리,상일동,64,16:39:20,16:40:24
왕십리,마천,129,16:45:20,16:47:29
왕십리,상일동,55,16:51:20,16:52:15
왕십리,마천,64,16:57:20,16:58:24
왕십리,상일동,91,17:3:20,17:4:51
왕십리,마천,86,17:9:20,17:10:46
왕십리,상일동,171,17:15:20,17:18:11
왕십리,마천,102,17:21:20,17:23:2
왕십리,상일동,83,17:27:20,17:28:43
왕십리,마천,130,17:33:20,17:35:30
왕십리,상일동,19,17:39:20,17:39:39
왕십리,마천,115,17:45:20,17:47:15
왕십리,상일동,36,17:51:20,17:51:56
왕십리,마천,26,17:57:20,17:57:46
왕십리,상일동,37,18:3:20,18:3:57
왕십리,마천,27,18:9:20,18:9:47
왕십리,상일동,32,18:15:20,18:15:52
왕십리,마천,65,18:21:20,18:22:25
왕십리,상일동,66,18:27:20,18:28:26
왕십리,마천,2,18:33:20,18:33:22
왕십리,상일동,58,18:39:20,18:40:18
왕십리,마천,88,18:45:20,18:46:48
왕십리,상일동,46,18:51:20,18:52:6
왕십리,마천,109,18:57:20,18:59:9
왕십리,마천,54,19:9:20,19:10:14
왕십리,상일동,26,19:15:20,19:15:46
왕십리,마천,36,19:21:20,19:21:56
왕십리,상일동,22,19:27:20,19:26:58
왕십리,마천,33,19:33:20,19:33:53
왕십리,상일동,32,19:39:20,19:39:52
왕십리,마천,22,19:45:20,19:45:42
왕십리,상일동,55,19:51:20,19:52:15
왕십리,마천,27,19:57:20,19:57:47
왕십리,상일동,4,20:3:20,20:3:24
왕십리,마천,8,20:9:20,20:9:28
왕십리,상일동,10,20:15:20,20:15:10
왕십리,마천,76,20:21:20,20:22:36
왕십리,상일동,4,20:27:20,20:27:24
왕십리,마천,18,20:33:20,20:33:38
왕십리,상일동,66,20:39:20,20:40:26
왕십리,마천,4,20:45:20,20:45:16
왕십리,상일동,48,20:51:20,20:52:8
왕십리,마천,69,20:57:20,20:58:29
왕십리,상일동,75,21:3:20,21:4:35
왕십리,마천,61,21:9:20,21:10:21
왕십리,상일동,27,21:15:20,21:14:53
왕십리,마천,20,21:21:20,21:21:40
왕십리,상일동,0,21:27:20,21:27:20
왕십리,마천,20,21:33:20,21:33:40
왕십리,상일동,48,21:39:20,21:40:8
왕십리,마천,55,21:45:20,21:46:15
왕십리,상일동,47,21:51:20,21:52:7
왕십리,마천,117,21:57:20,21:59:17
왕십리,상일동,26,22:3:20,22:3:46
왕십리,마천,64,22:9:20,22:10:24
왕십리,상일동,48,22:15:20,22:16:8
왕십리,마천,48,22:21:20,22:20:32
왕십리,상일동,53,22:27:20,22:28:13
왕십리,마천,48,22:34:20,22:35:8
왕십리,상일동,74,22:41:20,22:42:34
왕십리,상일동,29,22:55:20,22:55:49
왕십리,마천,104,23:2:20,23:4:4
왕십리,상일동,31,23:9:20,23:9:51
왕십리,마천,16,23:17:20,23:17:4
왕십리,상일동,5,23:25:20,23:25:25
왕십리,마천,101,23:32:10,23:33:51
왕십리,상일동,70,23:40:10,23:41:20
왕십리,강동,130,23:48:10,23:50:20
왕십리,군자(능동),110,23:56:10,23:58:0
